Solution, DirName, Sector
Refrigerant Management, refrigerants, Materials
Wind Turbines (Onshore), onshorewind, Electricity Generation
Reduced Food Waste,, Food
Plant-Rich Diet,, Food
Tropical Forests, tropicalforests, Land Use
Educating Girls,, Women and Girls
Family Planning,, Women and Girls
Solar Farms, solarpvutil, Electricity Generation
Silvopasture,silvopasture, Food
Rooftop Solar, solarpvroof, Electricity Generation
Regenerative Agriculture, regenerativeagriculture, Food
Temperate Forests, temperateforests, Land Use
Peatlands,, Land Use
Tropical Staple Trees, tropicaltreestaples, Food
Afforestation,, Land Use
Conservation Agriculture, conservationagriculture, Food
Tree Intercropping,, Food
Geothermal,, Electricity Generation
Managed Grazing,, Food
Nuclear,, Electricity Generation
Clean Cookstoves, improvedcookstoves, Food
Wind Turbines (Offshore), offshorewind, Electricity Generation
Farmland Restoration,, Food
Improved Rice Cultivation,, Food
Concentrated Solar, concentratedsolar, Electricity Generation
Electric Vehicles, electricvehicles, Transport
District Heating, districtheating, Buildings and Cities
Multistrata Agroforestry,, Food
Wave and Tidal, waveandtidal, Electricity Generation
Methane Digesters (Large), biogas, Electricity Generation
Insulation, insulation, Buildings and Cities
Ships, ships, Transport
LED Lighting (Household), leds_residential, Buildings and Cities
Biomass, biomass, Electricity Generation
Bamboo,, Land Use
Alternative Cement, altcement, Materials
Mass Transit, masstransit, Transport
Forest Protection, forestprotection, Land Use
Indigenous Peoples’ Land Management,, Land Use
Trucks, trucks, Transport
Solar Water, solarhotwater, Electricity Generation
Heat Pumps, heatpumps, Buildings and Cities
Airplanes, airplanes, Transport
LED Lighting (Commercial), leds_commercial, Buildings and Cities
Building Automation, buildingautomation, Buildings and Cities
Water Saving - Home, waterefficiency, Materials
Bioplastic, bioplastic, Materials
In-Stream Hydro, instreamhydro, Electricity Generation
Cars,, Transport
Cogeneration,, Electricity Generation
Perennial Biomass,, Land Use
Coastal Wetlands,, Land Use
System of Rice Intensification,, Food
Walkable Cities, walkablecities, Buildings and Cities
Household Recycling,, Materials
Industrial Recycling,, Materials
Smart Thermostats, smartthermostats, Buildings and Cities
Landfill Methane, landfillmethane, Buildings and Cities
Bike Infrastructure, bikeinfrastructure, Buildings and Cities
Composting, composting, Food
Smart Glass, smartglass, Buildings and Cities
Women Smallholders,, Women and Girls
Telepresence, telepresence, Transport
Methane Digesters (Small),, Electricity Generation
Nutrient Management,, Food
High-speed Rail, highspeedrail, Transport
Farmland Irrigation,, Food
Waste-to-Energy,, Electricity Generation
Electric Bikes, electricbikes, Transport
Recycled Paper, recycledpaper, Materials
Water Distribution, waterdistribution, Buildings and Cities
Biochar, biochar, Food
Green Roofs, greenroofs, Buildings and Cities
Trains, trains, Transport
Ridesharing,, Transport
Micro Wind, microwind, Electricity Generation
Carpooling, carpooling, Transport
Cool Roofs, coolroofs, Buildings and Cities
