Solution,CO2eq-pop9B,CO2eq-pop8B,CO2eq-fc0T,CO2eq-fc5T
Refrigerant Management,89.74,79.77,89.74,89.74
Wind Turbines (Onshore),84.6,75.2,84.6,84.6
Reduced Food Waste,70.53,62.69,70.53,70.53
Plant-Rich Diet,66.11,58.76,66.11,66.11
Tropical Forests,61.23,61.23,61.23,61.23
Educating Girls,51.48,45.76,51.48,51.48
Family Planning,51.48,45.76,51.48,51.48
Solar Farms,36.9,32.8,36.9,36.9
Silvopasture,31.19,31.19,31.19,31.19
Rooftop Solar,24.6,21.87,24.6,24.6
Regenerative Agriculture,23.15,23.15,23.15,23.15
Temperate Forests,22.61,22.61,22.61,22.61
Peatlands,21.57,21.57,21.57,21.57
Tropical Staple Trees,20.19,20.19,20.19,20.19
Afforestation,18.06,18.06,18.06,18.06
Conservation Agriculture,17.35,17.35,17.35,17.35
Tree Intercropping,17.2,17.2,17.2,17.2
Geothermal,16.6,14.76,16.6,16.6
Managed Grazing,16.34,16.34,16.34,16.34
Nuclear,16.09,14.3,16.09,16.09
Clean Cookstoves,15.81,14.05,15.81,15.81
Wind Turbines (Offshore),14.1,12.53,14.1,14.1
Farmland Restoration,14.08,14.08,14.08,14.08
Improved Rice Cultivation,11.34,10.08,11.34,11.34
Concentrated Solar,10.9,9.69,10.9,10.9
Electric Vehicles,10.8,10.2,10.8,10.8
District Heating,9.38,8.34,9.38,9.38
Multistrata Agroforestry,9.28,9.28,9.28,9.28
Wave and Tidal,9.2,8.18,9.2,9.2
Methane Digesters (Large),8.4,7.47,8.4,8.4
Insulation,8.27,7.35,8.27,8.27
Ships,7.87,7.0,7.87,7.87
LED Lighting (Household),7.81,6.94,7.81,7.81
Biomass,7.5,6.67,7.5,7.5
Bamboo,7.22,7.22,7.22,7.22
Alternative Cement,6.69,5.95,6.69,6.69
Mass Transit,6.57,5.84,6.57,6.57
Forest Protection,6.2,6.2,6.2,6.2
Indigenous Peoples’ Land Management,6.19,6.19,6.19,6.19
Trucks,6.18,5.49,6.18,6.18
Solar Water,6.08,5.4,6.08,6.08
Heat Pumps,5.2,4.62,5.2,5.2
Airplanes,5.05,4.49,5.05,5.05
LED Lighting (Commercial),5.04,4.48,5.04,5.04
Building Automation,4.62,4.11,4.62,4.62
Water Saving - Home,4.61,4.1,4.61,4.61
Bioplastic,4.3,3.82,4.3,4.3
In-Stream Hydro,4.0,3.56,4.0,4.0
Cars,4.0,3.56,4.0,4.0
Cogeneration,3.97,3.53,3.97,3.97
Perennial Biomass,3.33,3.33,3.33,3.33
Coastal Wetlands,3.19,3.19,3.19,3.19
System of Rice Intensification,3.13,3.13,3.13,3.13
Walkable Cities,2.92,2.6,2.92,2.92
Household Recycling,2.77,2.46,2.77,2.77
Industrial Recycling,2.77,2.46,2.77,2.77
Smart Thermostats,2.62,2.33,2.62,2.62
Landfill Methane,2.5,2.22,2.5,2.5
Bike Infrastructure,2.31,2.05,2.31,2.31
Composting,2.28,2.03,2.28,2.28
Smart Glass,2.19,1.95,2.19,2.19
Women Smallholders,2.06,1.83,2.06,2.06
Telepresence,1.99,1.77,1.99,1.99
Methane Digesters (Small),1.9,1.69,1.9,1.9
Nutrient Management,1.81,1.61,1.81,1.81
High-speed Rail,1.52,1.32,1.52,1.52
Farmland Irrigation,1.33,1.33,1.33,1.33
Waste-to-Energy,1.1,0.98,1.1,1.1
Electric Bikes,0.96,0.85,0.96,0.96
Recycled Paper,0.9,0.8,0.9,0.9
Water Distribution,0.87,0.77,0.87,0.87
Biochar,0.81,0.81,0.81,0.81
Green Roofs,0.77,0.68,0.77,0.77
Trains,0.52,0.46,0.52,0.52
Ridesharing,0.32,0.28,0.32,0.32
Micro Wind,0.2,0.18,0.2,0.2
