"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Crop,Exclude Data?
同 2003 in 贾 2013 (农林间作复合生态系统研究进展),http://www.cqvip.com/qk/94904x/201304/47000927.html,Asia (Sans Japan),China,,,,0.07,%,,%,,Need to verify the data - source in chinese,,True
贾 2013,http://www.cqvip.com/qk/94904x/201304/47000927.html,Asia (Sans Japan),China,,,,0.037000000000000005,%,,%,,Need to verify the data - source in chinese,,True
贾 2013,http://www.cqvip.com/qk/94904x/201304/47000927.html,Asia (Sans Japan),China,,,,0.027000000000000003,%,,%,,Need to verify the data - source in chinese,,True
Qiao et al 1990 in Li et al ,https://books.google.com/books?hl=en&lr=&id=lqIQvt15VuQC&oi=fnd&pg=PR9&dq=Agro-ecological+Farming+Systems+in+China&ots=ND5AjE__Qb&sig=GQRzOAHCzeS9DXXIj33fzESlRiM#v=onepage&q=Agro-ecological%20Farming%20Systems%20in%20China&f=false,Asia (Sans Japan),China,,,,0.0126,%,,%,,Need to verify the data - not able to access data,,True
Qiao et al 1990 in Li et al ,https://books.google.com/books?hl=en&lr=&id=lqIQvt15VuQC&oi=fnd&pg=PR9&dq=Agro-ecological+Farming+Systems+in+China&ots=ND5AjE__Qb&sig=GQRzOAHCzeS9DXXIj33fzESlRiM#v=onepage&q=Agro-ecological%20Farming%20Systems%20in%20China&f=false,Asia (Sans Japan),China,,,,0.018500000000000003,%,,%,,Need to verify the data - not able to access data,,True
"Garrity 2010; Garrity, D. P., Akinnifesi, F. K., Ajayi, O. C., Weldesemayat, S. G., Mowo, J. G., Kalinganire, A., ... & Bayala, J. (2010). Evergreen Agriculture: a robust approach to sustainable food security in Africa. Food security, 2(3), 197-214.",http://link.springer.com/article/10.1007/s12571-010-0070-7,Middle East and Africa,Zambia,,,,0.0207,%,,%,,Not able to verify the numbers,,True
"Toor et al 2012; tree-based intercropping systems (yields compared with no-tree productions ystems); Toor, I. A., Smith, E. G., Whalen, J. K., & Naseem, A. (2012). Tree‐Based Intercropping in Southern Ontario, Canada. Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie, 60(2), 141-154.",http://joann-whalen.research.mcgill.ca/Articles%20to%20be%20linked/Canadian%20Journal%20of%20Agricultural%20Economics%202012%20v60%20pp141-154%20Tree-Based%20Intercropping%20in%20Southern%20Ontario.pdf,OECD90,Canada,,,,-0.014,%,,%,,Reported decrease in crop yields in tree-based systems compared to normal arable production (see p. 146),Other,
"Fadl et al 2013; calculated % yield increase for intercropped sorghum (compared to conventional); Fadl, K. E. M. (2013). Influence of Acacia senegal agroforestry system on growth and yield of sorghum, sesame, roselle and gum in north Kordofan State, Sudan. Journal of forestry research, 24(1), 173-177.",https://s3.amazonaws.com/academia.edu.documents/44685468/Influence_of_Acacia_senegal_agroforestry20160413-8417-103zo02.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1517664040&Signature=vYm4A4lBBb7khrjQS9PxgOiEhBM%3D&response-content-disposition=inline%3B%20filename%3DInfluence_of_Acacia_senegal_agroforestry.pdf,Middle East and Africa,Sudan,,,,0.15835777126099715,%,,%,,Sorghum intercropped - calculated % increase based on reported conventional and intercropped yields,Sorghum,
"Fadl et al 2013; calculated % yield increase for intercropped sesame (compared to conventional); Fadl, K. E. M. (2013). Influence of Acacia senegal agroforestry system on growth and yield of sorghum, sesame, roselle and gum in north Kordofan State, Sudan. Journal of forestry research, 24(1), 173-177.",https://s3.amazonaws.com/academia.edu.documents/44685468/Influence_of_Acacia_senegal_agroforestry20160413-8417-103zo02.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1517664040&Signature=vYm4A4lBBb7khrjQS9PxgOiEhBM%3D&response-content-disposition=inline%3B%20filename%3DInfluence_of_Acacia_senegal_agroforestry.pdf,Middle East and Africa,Sudan,,,,0.3125,%,,%,,Sesame intercropped - calculated % increase based on reported conventional and intercropped yields,Other,
"Fadl et al 2013; calculated % yield increase for intercropped roselle (compared to conventional); Fadl, K. E. M. (2013). Influence of Acacia senegal agroforestry system on growth and yield of sorghum, sesame, roselle and gum in north Kordofan State, Sudan. Journal of forestry research, 24(1), 173-177.",https://s3.amazonaws.com/academia.edu.documents/44685468/Influence_of_Acacia_senegal_agroforestry20160413-8417-103zo02.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1517664040&Signature=vYm4A4lBBb7khrjQS9PxgOiEhBM%3D&response-content-disposition=inline%3B%20filename%3DInfluence_of_Acacia_senegal_agroforestry.pdf,Middle East and Africa,Sudan,,,,0.2655172413793103,%,,%,,Roselle intercropped - calculated % increase based on reported conventional and intercropped yields,Other,
"Bhatt & Misra 2003; calculated increase in total yield (rice + fruit) for rice-guava intercrop, cultivar 1; Bhatt, B. P., & Misra, L. K. (2003). Production potential and cost-benefit analysis of agrihorticulture agroforestry systems in Northeast India. Journal of sustainable agriculture, 22(2), 99-108.",https://link.springer.com/article/10.1186/1179-5395-44-S1-S11,Asia (Sans Japan),India,,,,0.45402759948652127,%,,%,,"RCPL-1-24 rice cultivar + guava; calculated based on reported total rice yield plus total reported fruit yield value (mean value), see Table 2, p. 7","Rice, paddy",
"Bhatt & Misra 2003; calculated increase in total yield (rice + fruit) for rice-guava intercrop, cultivar 2; Bhatt, B. P., & Misra, L. K. (2003). Production potential and cost-benefit analysis of agrihorticulture agroforestry systems in Northeast India. Journal of sustainable agriculture, 22(2), 99-108.",https://link.springer.com/article/10.1186/1179-5395-44-S1-S11,Asia (Sans Japan),India,,,,0.42826295585412666,%,,%,,"RCPL-1-25 rice cultivar + guava; calculated based on reported total rice yield plus total reported fruit yield value (mean value), see Table 2, p. 7","Rice, paddy",
"Bhatt & Misra 2003; calculated increase in total yield (rice + fruit) for rice-guava intercrop, cultivar 3; Bhatt, B. P., & Misra, L. K. (2003). Production potential and cost-benefit analysis of agrihorticulture agroforestry systems in Northeast India. Journal of sustainable agriculture, 22(2), 99-108.",https://link.springer.com/article/10.1186/1179-5395-44-S1-S12,Asia (Sans Japan),India,,,,0.4885656787413102,%,,%,,"RCPL-1-29 rice cultivar + guava; calculated based on reported total rice yield plus total reported fruit yield value (mean value), see Table 2, p. 7","Rice, paddy",
"Bhatt & Misra 2003; calculated increase in total yield (rice + fruit) for rice-lemon intercrop, cultivar 1; Bhatt, B. P., & Misra, L. K. (2003). Production potential and cost-benefit analysis of agrihorticulture agroforestry systems in Northeast India. Journal of sustainable agriculture, 22(2), 99-108.",https://link.springer.com/article/10.1186/1179-5395-44-S1-S13,Asia (Sans Japan),India,,,,0.26877406931964054,%,,%,,"RCPL-1-24 rice cultivar + assam lemon; calculated based on reported total rice yield plus total reported fruit yield value (mean value), see Table 2, p. 7","Rice, paddy",
"Bhatt & Misra 2003; calculated increase in total yield (rice + fruit) for rice-lemon intercrop, cultivar 2; Bhatt, B. P., & Misra, L. K. (2003). Production potential and cost-benefit analysis of agrihorticulture agroforestry systems in Northeast India. Journal of sustainable agriculture, 22(2), 99-108.",https://link.springer.com/article/10.1186/1179-5395-44-S1-S11,Asia (Sans Japan),India,,,,0.24088291746641066,%,,%,,"RCPL-1-25 rice cultivar + assam lemon; calculated based on reported total rice yield plus total reported fruit yield value (mean value), see Table 2, p. 7","Rice, paddy",
"Bhatt & Misra 2003; calculated increase in total yield (rice + fruit) for rice-lemon intercrop, cultivar 3; Bhatt, B. P., & Misra, L. K. (2003). Production potential and cost-benefit analysis of agrihorticulture agroforestry systems in Northeast India. Journal of sustainable agriculture, 22(2), 99-108.",https://link.springer.com/article/10.1186/1179-5395-44-S1-S11,Asia (Sans Japan),India,,,,0.2609769484083424,%,,%,,"RCPL-1-29 rice cultivar + assam lemon; calculated based on reported total rice yield plus total reported fruit yield value (mean value), see Table 2, p. 7","Rice, paddy",
"Chaturvedi, 1981",,Asia (Sans Japan),"india (Tarai, Uttar Pradesh) ",,,,0.015,%,,%,,Unable to get the source link,,True
"Prasad et al. 2010; annual crop + eucalyptus (10 x 1.5m spacing), based on intercropped and sole crop yields in kg/ha in 2001; Prasad, J. V. N. S., Korwar, G. R., Rao, K. V., Mandal, U. K., Rao, C. A. R., Rao, G. R., ... & Rao, M. R. (2010). Tree row spacing affected agronomic and economic performance of Eucalyptus-based agroforestry in Andhra Pradesh, Southern India. Agroforestry Systems, 78(3), 253-267.",https://link.springer.com/article/10.1007/s10457-009-9275-1,Asia (Sans Japan),India,,,,0.09710743801652888,%,,%,,"Calculated based on reported cowpea yields in intercropped system with eucalyptus (10 x 1.5m spacing) and sole crop systems in 2001; see Table 3, p. 7",Cow peas,True
