"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Closest Matching Standard Crop (by Revenue/ha),Exclude Data?
同 2003 in 贾 2013 (农林间作复合生态系统研究进展),http://www.cqvip.com/qk/94904x/201304/47000927.html,Asia (Sans Japan),China,,,,0.07,%,527.3098037214132,US$2014/ ha/ yr ,,Need to verify the data - source in chinese,,
贾 2013,http://www.cqvip.com/qk/94904x/201304/47000927.html,Asia (Sans Japan),China,,,,0.037000000000000005,%,511.046977999164,US$2014/ ha/ yr ,,Need to verify the data - source in chinese,,
贾 2013,http://www.cqvip.com/qk/94904x/201304/47000927.html,Asia (Sans Japan),China,,,,0.027000000000000003,%,506.1188489924218,US$2014/ ha/ yr ,,Need to verify the data - source in chinese,,
Qiao et al 1990 in Li et al ,https://books.google.com/books?hl=en&lr=&id=lqIQvt15VuQC&oi=fnd&pg=PR9&dq=Agro-ecological+Farming+Systems+in+China&ots=ND5AjE__Qb&sig=GQRzOAHCzeS9DXXIj33fzESlRiM#v=onepage&q=Agro-ecological%20Farming%20Systems%20in%20China&f=false,Asia (Sans Japan),China,,,,0.0126,%,499.0223432227131,US$2014/ ha/ yr ,,Need to verify the data - not able to access data,,
Qiao et al 1990 in Li et al ,https://books.google.com/books?hl=en&lr=&id=lqIQvt15VuQC&oi=fnd&pg=PR9&dq=Agro-ecological+Farming+Systems+in+China&ots=ND5AjE__Qb&sig=GQRzOAHCzeS9DXXIj33fzESlRiM#v=onepage&q=Agro-ecological%20Farming%20Systems%20in%20China&f=false,Asia (Sans Japan),China,,,,0.018500000000000003,%,501.929939336691,US$2014/ ha/ yr ,,Need to verify the data - not able to access data,,
"Garrity 2010; Garrity, D. P., Akinnifesi, F. K., Ajayi, O. C., Weldesemayat, S. G., Mowo, J. G., Kalinganire, A., ... & Bayala, J. (2010). Evergreen Agriculture: a robust approach to sustainable food security in Africa. Food security, 2(3), 197-214.",http://link.springer.com/article/10.1007/s12571-010-0070-7,Middle East and Africa,Zambia,,,,0.0207,%,503.0141277181743,US$2014/ ha/ yr ,,Not able to verify the numbers,,
"Toor et al 2012; Toor, I. A., Smith, E. G., Whalen, J. K., & Naseem, A. (2012). Tree‐Based Intercropping in Southern Ontario, Canada. Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie, 60(2), 141-154.",http://joann-whalen.research.mcgill.ca/Articles%20to%20be%20linked/Canadian%20Journal%20of%20Agricultural%20Economics%202012%20v60%20pp141-154%20Tree-Based%20Intercropping%20in%20Southern%20Ontario.pdf,OECD90,Canada,,,,0.009000000000000001,%,497.2482167802859,US$2014/ ha/ yr ,,Not able to verify the numbers,,
"Toor et al 2012; Toor, I. A., Smith, E. G., Whalen, J. K., & Naseem, A. (2012). Tree‐Based Intercropping in Southern Ontario, Canada. Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie, 60(2), 141-154.",http://joann-whalen.research.mcgill.ca/Articles%20to%20be%20linked/Canadian%20Journal%20of%20Agricultural%20Economics%202012%20v60%20pp141-154%20Tree-Based%20Intercropping%20in%20Southern%20Ontario.pdf,OECD90,Canada,,,,0.00767,%,496.5927756223893,US$2014/ ha/ yr ,,Not able to verify the numbers,,
"Toor et al 2012; Toor, I. A., Smith, E. G., Whalen, J. K., & Naseem, A. (2012). Tree‐Based Intercropping in Southern Ontario, Canada. Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie, 60(2), 141-154.",http://joann-whalen.research.mcgill.ca/Articles%20to%20be%20linked/Canadian%20Journal%20of%20Agricultural%20Economics%202012%20v60%20pp141-154%20Tree-Based%20Intercropping%20in%20Southern%20Ontario.pdf,OECD90,Canada,,,,0.00756,%,496.5385662033151,US$2014/ ha/ yr ,,Not able to verify the numbers,,
"Fadl et al 2013; calculated net profit margin for intercropped sorghum; Fadl, K. E. M. (2013). Influence of Acacia senegal agroforestry system on growth and yield of sorghum, sesame, roselle and gum in north Kordofan State, Sudan. Journal of forestry research, 24(1), 173-177.",https://s3.amazonaws.com/academia.edu.documents/44685468/Influence_of_Acacia_senegal_agroforestry20160413-8417-103zo02.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1517664040&Signature=vYm4A4lBBb7khrjQS9PxgOiEhBM%3D&response-content-disposition=inline%3B%20filename%3DInfluence_of_Acacia_senegal_agroforestry.pdf,Middle East and Africa,Sudan,,,,1.1137724550898203,% increase (solution vs. conventional),1041.6943349580774,US$2014/ ha/ yr ,,"Sorghum intercropped - calculated difference between net revenue of intercropped sorghum divided by net revenue for sole sorghum, based on Table 4 (p. 5)",Sorghum,
