"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Dixon et al 1994; carbon densities on Table 2 Russia. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,Eastern Europe,Russia,,1  - Peer Reviewed,,,281.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Canada. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,OECD90,Canada,,1  - Peer Reviewed,,,484.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Alaska. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,USA,Alaska,,1  - Peer Reviewed,,,212.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 USA. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,USA,USA,,1  - Peer Reviewed,,,108.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Europe. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,EU,Europe,,1  - Peer Reviewed,,,90.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 China. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,Asia (Sans Japan),China,,1  - Peer Reviewed,,,136.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Australia. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,OECD90,Australia,,1  - Peer Reviewed,,,83.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Asia. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,Asia (Sans Japan),Asia,,1  - Peer Reviewed,,,139.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Africa. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,Middle East and Africa,Africa,,1  - Peer Reviewed,,,120.0,t C/ha,,t C / ha,,Refer table 2,
"Dixon et al 1994; carbon densities on Table 2 Americas. Full reference: Dixon, R. K., Solomon, A. M., Brown, S., Houghton, R. A., Trexier, M. C., & Wisniewski, J. (1994). Carbon Pools and Flux of Global Forest Ecosystems. Science, 263(5144), 185–190. https://doi.org/10.1126/science.263.5144.185",https://www.sierraforestlegacy.org/Resources/Conservation/FireForestEcology/ThreatsForestHealth/Climate/CI-Dixon_et_al_1994_C_pools.pdf,Latin America,America,,1  - Peer Reviewed,,,120.0,t C/ha,,t C / ha,,Refer table 2,
