VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,7.0,7.0,7.0
4,CONVENTIONAL Operating Cost per Functional Unit per Annum,652.735403234368,944.0249679139572,361.44583855477885
5,SOLUTION Operating Cost per Functional Unit per Annum,384.34648706769167,507.99545828921026,260.6975158461731
6,CONVENTIONAL Net Profit Margin per Functional Unit per Annum,449.1639921107947,687.8154160286508,210.5125681929386
7,SOLUTION Net Profit Margin per Functional Unit per Annum,640.0654296248848,949.4122100949514,330.71864915481814
8,Yield from CONVENTIONAL Practice,1176.9959612047824,2971.1380679370595,-617.1461455274946
9,Yield Gain (% Increase from CONVENTIONAL to SOLUTION),-0.029402693486478743,0.053540577571417794,-0.11234596454437527
17,t N2O-CO2-eq Reduced per Land Unit,-0.38468571428571435,0.07421175869730845,-0.8435831872687372
18,t CH4-CO2-eq Reduced per Land Unit,5.601139534883721,17.281086706606786,-6.078807636839345
21,Sequestration Rates,1.45484,3.1242717519443555,-0.21459175194435565
