"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Closest Matching Standard Crop (by Revenue/ha),Exclude Data?
Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi ,1  - Peer Reviewed,2011,,,US$2011/ha,0.0,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize (Lemu)",Maize,
Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi  ,1  - Peer Reviewed,2011,,,US$2011/ha,0.0,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize with legume as intercrop (Lemu)",Maize,
Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi ,1  - Peer Reviewed,2011,,,US$2011/ha,0.0,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize (Zidyana)",Maize,
Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi  ,1  - Peer Reviewed,2011,,,US$2011/ha,0.0,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize with legume as intercrop (Zidyana)",Maize,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf,OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,3.087280764564752e-06,"Same weight as used in conventional operational cost. Table 5.3: Working Cost Region North-East (intensive cultivation, conservation);  Rape ",Soybeans,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,0.0013615741247492423,"Same weight as used in conventional operational cost. Table 5.3: Working Cost Region North-East (intensive cultivation, conservation);  Wheat ",Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,0.0013615741247492423,"Same weight as used in conventional operational cost. Table 5.3: Working Cost Region North-East (intensive cultivation, conservation);  Barley",Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,3.087280764564752e-06,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);  Rape ,Soybeans,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);   Wheat ,Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);  Wheat,Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);  Barley,Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,7.922099654351579e-05,Same weight as used in conventional operational cost. Table 5.9: Working Cost Region “Low Mountain range” (conservation); Sugar Beet,"Beans, dry",
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,,Euro2014/ha,0.0,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.9: Working Cost Region “Low Mountain range” (conservation); Wheat,Wheat,
