VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,7.0,7.0,7.0
3,SOLUTION First Cost per Implementation Unit,355.05402065155226,534.3794643056053,175.72857699749923
4,CONVENTIONAL Operating Cost per Functional Unit per Annum,943.5705007625396,1329.3509004709813,0.0023035127968646985
5,SOLUTION Operating Cost per Functional Unit per Annum,599.0275305926742,708.7036735204899,489.3513876648585
6,CONVENTIONAL Net Profit Margin per Functional Unit per Annum,474.2056418585894,750.2382633793021,198.17302033787666
7,SOLUTION Net Profit Margin per Functional Unit per Annum,530.3935292253321,752.5591461201806,308.2279123304837
8,Yield from CONVENTIONAL Practice,3789.8799381047847,6598.592711752504,981.1671644570652
9,Yield Gain (% Increase from CONVENTIONAL to SOLUTION),0.08257142857142859,0.21486423924193343,-0.04972138209907627
15,t CO2-eq (Aggregate emissions) Reduced per Land Unit,0.23357743333333333,0.4901403613166061,-0.022985494649939403
21,Sequestration Rates,0.5137105759021046,0.9534626663525864,0.07395848545162276
