Department_Id,Department_Name,Manager_Id,Location_Id
10,Administration,200,1700
20,Marketing,201,1800
30,Purchasing,114,1700
40,Human Resources,203,2400
50,Shipping,121,1500
60,IT,103,1400
70,Public Relations,204,2700
80,Sales,145,2500
90,Executive,100,1700
100,Finance,108,1700
110,Accounting,205,1700
120,Treasury,NULL,1700
130,Corporate Tax,NULL,1700
140,Control And Credit,NULL,1700
150,Shareholder Services,NULL,1700
160,Benefits,NULL,1700
170,Manufacturing,NULL,1700
180,Construction,NULL,1700
190,Contracting,NULL,1700
200,Operations,NULL,1700
210,IT Support,NULL,1700
220,NOC,NULL,1700
230,IT Helpdesk,NULL,1700
240,Government Sales,NULL,1700
250,Retail Sales,NULL,1700
260,Recruiting,NULL,1700
270,Payroll,NULL,1700
