# Adoption Data for the Solar PV Rooftop solution
Year, World, OECD90, Eastern Europe, Asia (Sans Japan), Middle East and Africa, Latin America, China, India, EU, USA
2012, 38.81960000000
2013, 54.04360000000
2014, 75.22920000000
2015, 68.11516264384
2016, 88.84887507745
2017, 112.47904564072
2018, 138.93047083544
2019, 168.12794716344
2020, 213.90760971208
2021, 234.46023922644
2022, 271.44464796507
2023, 310.87429384419
2024, 352.67397336561
2025, 387.38950640519
2026, 443.08261934256
2027, 491.54117880171
2028, 542.06895791039
2029, 594.59075317039
2030, 612.87815687188
2031, 705.31557815161
2032, 763.36820087644
2033, 823.11402575983
2034, 884.47784930358
2035, 871.04235034311
2036, 1011.75867837939
2037, 1077.52527691506
2038, 1144.60906011832
2039, 1212.93482449097
2040, 1300.60705710635
2041, 1353.01148275169
2042, 1424.61196964336
2043, 1497.15362371165
2044, 1570.56124145837
2045, 1766.79676639672
2046, 1719.67355399431
2047, 1795.22784178715
2048, 1871.34727926563
2049, 1947.95666293158
2050, 2024.98078928678
2051, 2041.00770444912
2052, 2179.97245607221
2053, 2257.78958950605
2054, 2335.72065163638
2055, 2413.69043896500
2056, 2491.62374799373
2057, 2569.44537522436
2058, 2647.08011715871
2059, 2724.45277029858
2060, 2801.48813114578
