# Adoption Data for the Solar PV Rooftop solution
Year, World, OECD90, Eastern Europe, Asia (Sans Japan), Middle East and Africa, Latin America, China, India, EU, USA
2012, 38.81960000000
2013, 54.04360000000
2014, 75.45802419757
2015, 131.52113289270
2016, 152.62439353184
2017, 174.40974254548
2018, 196.93069142976
2019, 220.23885505755
2020, 374.20418516168
2021, 269.42354016253
2022, 295.40683530795
2023, 322.38987742387
2024, 350.42813561671
2025, 379.57722719963
2026, 409.89189622172
2027, 441.42653736207
2028, 474.23657898023
2029, 508.37783030722
2030, 520.17840353786
2031, 580.87807032647
2032, 619.34930440113
2033, 659.37713124064
2034, 701.01920695809
2035, 744.33334361988
2036, 789.37683327737
2037, 836.20711137022
2038, 884.88264452969
2039, 935.46238303989
2040, 965.78171323749
2041, 1042.56922615350
2042, 1099.21233440938
2043, 1157.99079563270
2044, 1218.95993365536
2045, 1282.17499884845
2046, 1347.69203794984
2047, 1415.56736215479
2048, 1485.85625329153
2049, 1558.61355064900
2050, 1644.36168704705
2051, 1711.75203339480
2052, 1792.24271300865
2053, 1875.41469271474
2054, 1961.31421650375
2055, 2049.98870146361
2056, 2141.48913079124
2057, 2235.87006672514
2058, 2333.18676789389
2059, 2433.49676233112
2060, 2536.85814216407
