# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.80000000000
2013, 54.04000000000
2014, 75.24000000000
2015, 112.08000000000
2016, 162.60000000000
2017, 220.68000000000
2018, 285.92000000000
2019, 357.96000000000
2020, 376.80000000000
2021, 520.96000000000
2022, 611.24000000000
2023, 706.84000000000
2024, 807.40000000000
2025, 849.20000000000
2026, 1022.04000000000
2027, 1135.40000000000
2028, 1252.24000000000
2029, 1372.28000000000
2030, 1537.60000000000
2031, 1620.32000000000
2032, 1747.64000000000
2033, 1876.64000000000
2034, 2006.96000000000
2035, 2138.28000000000
2036, 2270.24000000000
2037, 2402.40000000000
2038, 2534.44000000000
2039, 2666.04000000000
2040, 2821.60000000000
2041, 2926.28000000000
2042, 3054.20000000000
2043, 3180.20000000000
2044, 3303.88000000000
2045, 3424.88000000000
2046, 3542.88000000000
2047, 3657.48000000000
2048, 3768.28000000000
2049, 3875.00000000000
2050, 3965.60000000000
2051, 4074.56000000000
2052, 4166.68000000000
2053, 4253.24000000000
2054, 4333.84000000000
2055, 4408.12000000000
2056, 4475.76000000000
2057, 4536.32000000000
2058, 4589.48000000000
2059, 4634.88000000000
2060, 4672.16000000000
