# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.800000000000
2013, 54.040000000000
2014, 75.240000000000
2015, 150.000000000000
2016, 175.000000000000
2017, 250.000000000000
2018, 285.920000000000
2019, 357.960000000000
2020, 376.800000000000
2021, 520.960000000000
2022, 611.240000000000
2023, 706.840000000000
2024, 807.400000000000
2025, 849.200000000000
2026, 1022.040000000000
2027, 1135.400000000000
2028, 1252.240000000000
2029, 1372.280000000000
2030, 1537.600000000000
2031, 1620.320000000000
2032, 1747.640000000000
2033, 1876.640000000000
2034, 2006.960000000000
2035, 2138.280000000000
2036, 2270.240000000000
2037, 2402.400000000000
2038, 2534.440000000000
2039, 2666.040000000000
2040, 2821.600000000000
2041, 2926.280000000000
2042, 3054.200000000000
2043, 3180.200000000000
2044, 3303.880000000000
2045, 3424.880000000000
2046, 3542.880000000000
2047, 3657.480000000000
2048, 3768.280000000000
2049, 3875.000000000000
2050, 3965.600000000000
2051, 4074.560000000000
2052, 4166.680000000000
2053, 4253.240000000000
2054, 4333.840000000000
2055, 4408.120000000000
2056, 4475.760000000000
2057, 4536.320000000000
2058, 4589.480000000000
2059, 4634.880000000000
2060, 4672.160000000000
