Year,medium,high,low
2015,0.619753649484954,0.834200994227942,0.446911398737087
2016,0.613223327855322,0.827419241197181,0.441324423346894
2017,0.606715005275064,0.817903147977287,0.436594799095373
2018,0.602650482222055,0.811957311805342,0.433711588716669
2019,0.599546311600711,0.808809196292089,0.431043861809484
2020,0.595844101320605,0.805066315637190,0.427859783304937
2021,0.592313613174105,0.801495614192573,0.424823161474647
2022,0.588839905934230,0.797975220897886,0.421832598087871
2023,0.585449295836798,0.794534135403531,0.418911809360421
2024,0.582134106340607,0.791164960038795,0.416054306144423
2025,0.579212349557159,0.788184425039760,0.413534464382670
2026,0.575701698847632,0.784615063765847,0.410505236766206
2027,0.572571412159762,0.781421736177582,0.407802618493011
2028,0.569490331287843,0.778275031115247,0.405141116198009
2029,0.566452830841887,0.775169515850856,0.402515970114720
2030,0.563582610910188,0.772224408553539,0.400032800926231
2031,0.560487575191628,0.769061765323778,0.397356976482730
2032,0.557549996015452,0.766050030587511,0.394814811934275
2033,0.554636302401122,0.763060441667938,0.392292329996334
2034,0.551742154484868,0.760088796218024,0.389785854191242
2035,0.548784376564443,0.757051944289887,0.387224226526241
2036,0.545979252104998,0.754165935635464,0.384793649089973
2037,0.543106698312767,0.751211316808699,0.382304463418555
2038,0.540236787794954,0.748258161570859,0.379817005842378
2039,0.537352597396159,0.745289123477943,0.377317616531354
2040,0.534257808148527,0.742113543256056,0.374637411133684
2041,0.531581023073820,0.739345510659962,0.372313849192314
2042,0.528685258247064,0.736362655581270,0.369802465048003
2043,0.525775521926616,0.733365101778856,0.367278694303595
2044,0.522848765756972,0.730349877395092,0.364739945323485
2045,0.519796747547837,0.727206616166885,0.362092302098936
2046,0.516932341500910,0.724254851488976,0.359607432066743
2047,0.513936894157109,0.721169405528371,0.357008750494339
2048,0.510912853777991,0.718054985950131,0.354385243670808
2049,0.508316537396635,0.715381773638989,0.352134907312678
2050,0.506594921787481,0.713622488394168,0.350653654650227
2051,0.504688929275709,0.711690195955989,0.349010631116045
2052,0.502854324722711,0.709827677277282,0.347428887775673
2053,0.500981466874364,0.707928699401097,0.345814547929372
2054,0.499068430228993,0.705991414176679,0.344165978406253
2055,0.497072403296562,0.703969699319331,0.342445358912229
2056,0.495114656946048,0.701995050774066,0.340760075761759
2057,0.493070596435275,0.699932787017676,0.338999924825479
2058,0.490979702541600,0.697825838098367,0.337199902765339
2059,0.488840556318235,0.695672846558836,0.335358807437345
2060,0.486810301162345,0.693612676011530,0.333607332510495
