Year,medium,high,low
2015,0.619731238862595,0.833329897638502,0.447394567903417
2016,0.613191401904823,0.826475738292122,0.441840091403282
2017,0.606673460423821,0.816888151363190,0.437142332630907
2018,0.602621620826105,0.810921431890408,0.434283943572488
2019,0.599517169584422,0.807763244481335,0.431621781691129
2020,0.595814617939265,0.804008111709454,0.428444472850274
2021,0.592283805449719,0.800425769093762,0.425414283117659
2022,0.588809786160664,0.796894175873816,0.422429908026953
2023,0.585418876248296,0.793442329560030,0.419515064976376
2024,0.582103398123095,0.790062794855959,0.416663285607405
2025,0.579181396011097,0.787073454637732,0.414148308994488
2026,0.575670443079687,0.783493246155346,0.411125074787444
2027,0.572539895698304,0.780290561875727,0.408427626368065
2028,0.569458561763715,0.777134774004723,0.405771142598445
2029,0.566420815129301,0.774020422657726,0.403150878716958
2030,0.563550372013766,0.771067304949067,0.400672135522024
2031,0.560455084913133,0.767895639229866,0.398001296275715
2032,0.557517276050081,0.764875660678135,0.395463686683625
2033,0.554603356997654,0.761877980438385,0.392945675443809
2034,0.551708987319473,0.758898375611644,0.390443597434166
2035,0.548750982702714,0.755853387203211,0.387886465419616
2036,0.545945648286556,0.752959842879268,0.385460051667747
2037,0.543072879075145,0.749997492326640,0.382975138007765
2038,0.540202754635895,0.747036659119172,0.380491922741082
2039,0.537318349782893,0.744059923934800,0.377996786304940
2040,0.534223321887233,0.740875778267926,0.375321313573634
2041,0.531546349510856,0.738101023126640,0.373001466040980
2042,0.528650372133802,0.735110539290677,0.370494297014854
2043,0.525740422649863,0.732105334722523,0.367974753548975
2044,0.522813452322305,0.729082423881671,0.365440251567938
2045,0.519761210236833,0.725931127387228,0.362797048070022
2046,0.516896595295224,0.722971865157726,0.360316320660926
2047,0.513900928625662,0.719878547258031,0.357721988571989
2048,0.510876666499075,0.716756168821856,0.355102879257204
2049,0.508280157733779,0.714076051555076,0.352856358095056
2050,0.506558397207335,0.712311565005700,0.351377979310044
2051,0.504652235487031,0.710373199412923,0.349738311376714
2052,0.502817470106218,0.708504908376451,0.348159757437882
2053,0.500944446102982,0.706599966945595,0.346548712635171
2054,0.499031237711340,0.704656517483214,0.344903549039207
2055,0.497035032239839,0.702628394583901,0.343186470181391
2056,0.495077103173832,0.700647188098395,0.341504810490442
2057,0.493032852694081,0.698578106063043,0.339748426858670
2058,0.490941762317814,0.696464105081149,0.337952301275530
2059,0.488802412899276,0.694303820554168,0.336115235542782
2060,0.486771979815374,0.692237263896700,0.334367289134159
