Year,medium,high,low
2015,0.484233479886851,0.954301230978324,0.415714611547194
2016,0.483874688367180,0.953705808726241,0.415699168023559
2017,0.483468578344429,0.953091499730308,0.415616211090683
2018,0.483022233781448,0.952462141044895,0.415474739683663
2019,0.482541827613129,0.951821094094534,0.415282575858891
2020,0.483415642278809,0.952177536197487,0.416520905499686
2021,0.481499412617218,0.950514955984204,0.414772457309720
2022,0.480945957200632,0.949854330000227,0.414465552432322
2023,0.480375890793439,0.949191227373746,0.414130387202149
2024,0.479792370097929,0.948527306071946,0.413771028606294
2025,0.479129875365096,0.947838144272479,0.413292094853295
2026,0.478595824341775,0.947202675323842,0.412993759718887
2027,0.477987474489965,0.946544387335615,0.412581910201081
2028,0.477375134675864,0.945890189693049,0.412158128728530
2029,0.476760604919920,0.945241007845619,0.411724756299051
2030,0.475609144710954,0.944163265130839,0.410760518917611
2031,0.475531330098496,0.943960978462593,0.410837481063205
2032,0.474919397316536,0.943331597296287,0.410387213255880
2033,0.474310925799146,0.942710164328208,0.409934674540315
2034,0.473707024060823,0.942097253091754,0.409481302620380
2035,0.473069619537973,0.941464119365002,0.408987650013088
2036,0.472516992530166,0.940899134962305,0.408577287386756
2037,0.471932749289687,0.940314944696740,0.408129046349254
2038,0.471356840757086,0.939741296080086,0.407684776056632
2039,0.470790067978465,0.939178632698648,0.407245483451931
2040,0.469678044528875,0.938292812842989,0.406144087639722
2041,0.469686967218630,0.938087976021352,0.406385614113651
2042,0.469152097173049,0.937560823287853,0.405966833587310
2043,0.468629288818192,0.937046343521181,0.405556634681864
2044,0.468119232533872,0.936544954506346,0.405155846275011
2045,0.467511263814817,0.935948980928557,0.404676293987320
2046,0.467140086966888,0.935583127327976,0.404385713672719
2047,0.466672338575004,0.935123538476659,0.404017937790258
2048,0.466220041675584,0.934678754794794,0.403662724592571
2049,0.465783884392082,0.934249237215735,0.403320851377671
2050,0.466202378014719,0.934415166260444,0.403919169849744
2051,0.464962806154690,0.933437918543026,0.402680273560695
2052,0.464579339264012,0.933057121808404,0.402383178115162
2053,0.464214935271267,0.932693614309824,0.402102653404484
2054,0.463870395799940,0.932347969864178,0.401839564471306
2055,0.463546558438388,0.932020795519145,0.401594806949223
2056,0.463244298699963,0.931712733709783,0.401369308350724
2057,0.462964541559962,0.931424469977991,0.401164041108521
2058,0.462707434123228,0.931155096821641,0.400980275898344
2059,0.462474856382921,0.930907038457189,0.400818857404330
2060,0.462020537057214,0.930512636676233,0.400404559244924
