Year,medium,high,low
2015,0.617381627523255,0.830817877069664,0.446511800066534
2016,0.613053711917674,0.824698901512021,0.443404400078671
2017,0.605559021113794,0.815532512015463,0.437490678056033
2018,0.599823764037522,0.807926586189615,0.433230012701179
2019,0.596692109138654,0.804739279793431,0.430557603413934
2020,0.592956465174414,0.800948724769081,0.427367828954101
2021,0.589394210498330,0.797332726214472,0.424325795194590
2022,0.585889940804312,0.793768752747037,0.421330025011830
2023,0.582469966488571,0.790285795690257,0.418404233626765
2024,0.579126508336472,0.786876310967440,0.415541914399482
2025,0.576180723793771,0.783861513867133,0.413017979130062
2026,0.572640473126760,0.780249944881284,0.409983708694097
2027,0.569484653817574,0.777020209351351,0.407276740536253
2028,0.566378787697806,0.773838162055771,0.404611015683456
2029,0.563317175272247,0.770698264597087,0.401981761744236
2030,0.560425096459919,0.767721987885512,0.399494868550752
2031,0.557305440093151,0.764524237131432,0.396814849591601
2032,0.554345365121137,0.761480424779140,0.394268852529604
2033,0.551409591841439,0.758459351619903,0.391742608972507
2034,0.548493724307989,0.755456735336789,0.389232432888142
2035,0.545513743488868,0.752388223445871,0.386667022609245
2036,0.542688055628436,0.749472892651180,0.384232941873367
2037,0.539794403434954,0.746488188806800,0.381740161756609
2038,0.536903541206374,0.743505157722919,0.379249134726127
2039,0.533998346916998,0.740506169378769,0.376746167071146
2040,0.530880184208068,0.737297260044097,0.374061979635782
2041,0.528185054593160,0.734503069266229,0.371735292412725
2042,0.525268472346747,0.731490529832329,0.369220361692718
2043,0.522337858549740,0.728463206037271,0.366693034140975
2044,0.519390127508675,0.725418072781803,0.364150711760779
2045,0.516316182594658,0.722243545426141,0.361499332976304
2046,0.513431317163278,0.719262606929121,0.359010977365359
2047,0.510414388803142,0.716146530365413,0.356408636163102
2048,0.507368630222783,0.713001141973038,0.353781429301529
2049,0.504753471538005,0.710301061700499,0.351527882859898
2050,0.503017662563427,0.708521537592850,0.350044212133840
2051,0.501095097574196,0.706565613824964,0.348398365216802
2052,0.499244741360773,0.704680634250964,0.346813938332699
2053,0.497355610112209,0.702758451510754,0.345196826056066
2054,0.495425752440293,0.700797180540976,0.343545390805835
2055,0.493412239186826,0.698750531269397,0.341821792241291
2056,0.491436597471548,0.696750365038799,0.340133460333253
2057,0.489373931181422,0.694661570589733,0.338370139609077
2058,0.487263793557604,0.692527181299305,0.336566839076065
2059,0.485104746166210,0.690345811922819,0.334722353270288
2060,0.483057064536976,0.688260792300398,0.332967909468916
