VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,7.0,7.0,7.0
3,SOLUTION First Cost per Implementation Unit,136.95130637304607,216.80932742229174,57.09328532380039
4,CONVENTIONAL Operating Cost per Functional Unit per Annum,328.4158577699379,684.5834152532939,-27.751699713418134
5,SOLUTION Operating Cost per Functional Unit per Annum,3235.0238286643716,5074.853788822045,1395.193868506698
6,CONVENTIONAL Net Profit Margin per Functional Unit per Annum,143.54391845443618,231.31902469904455,55.768812209827814
7,SOLUTION Net Profit Margin per Functional Unit per Annum,254.03215995498095,391.73910840224335,116.32521150771854
8,Yield from CONVENTIONAL Practice,3.4285714285714284,5.085344786391886,1.771798070750971
9,Yield Gain (% Increase from CONVENTIONAL to SOLUTION),0.10230000000000002,0.15788935149828603,0.04671064850171398
18,t CH4-CO2-eq Reduced per Land Unit,0.0,0.0,0.0
21,Sequestration Rates,0.5787571415431186,1.2513647268721422,-0.0938504437859049
